ID	Name	Desc	PriceDesc	Price	Store	IsFreeship	ServiceTag	BookTag	Author	AuthorScore	PublisherScore	PublisherCode	Publisher	BrandScore	Brand	Package	PubDate	PubYear	Paper	Language	PageSize	CommentCount	GoodCount	BadCount	IsPractise	IsFramework	SellLevel	SellScore
54088313538	【包邮特价】分布式机器学习：算法、理论与实践 计算机与互联网 书箱|231958	正版特价：部分有盖章或打码标识，封面有轻微折痕磕碰等情况，对品相有要求者慎重购买	中	42.7	互动出版网图书专营店	1	1	放心购|免邮|满赠	刘铁岩 陈薇 王太峰 高飞	20	50	2	机械工业出版社	30	华章（HuaZhang）		2018-10-08	2018.0			276.0	18	1	0	1	0	不畅销	0.34390000000000004
53796142291	【正版特价】机器学习：使用OpenCV和Python进行智能图像处理 计|232071	正版特价：部分有盖章或打码标识，封面有轻微折痕磕碰等情况，对品相有要求者慎重购买	中	33.1	互动出版网图书专营店	0	1	放心购|券每满300减30|满赠	美迈克尔 贝耶勒Michael Be	20	50	2	机械工业出版社	30	华章（HuaZhang）		2018-11-05	2018.0			264.0	16	2	0	0	0	不畅销	0.27540000000000003
55527201307	【包邮特价】机器学习基础 计算机与互联网 |232284	正版特价：部分有盖章或打码标识，封面有轻微折痕磕碰等情况，对品相有要求者慎重购买	中	47.5	互动出版网图书专营店	1	1	放心购|满赠	美 梅尔亚 莫里Mehryar Mo	20	50	2	机械工业出版社	30	华章（HuaZhang）		2019-04-24	2019.0			298.0	15	3	0	0	0	不畅销	0.2448
17119508081	【正版特价】Apache Spark机器学习 计算机与互联网 |230091	正版特价：部分有盖章或打码标识，封面有轻微折痕磕碰等情况，对品相有要求者慎重购买	低	9.9	互动出版网图书专营店	0	1	放心购|券每满300减30|满赠	美 刘永川Alex Liu	20	50	2	机械工业出版社	30	华章（HuaZhang）		2017-03-01	2017.0				13	4	0	0	0	不畅销	0.1876
71985592181	迁移学习 杨强+机器学习 周志华+集成学习 基础与算法+机器学习理论导引+联邦学习书籍	正版书籍质量保证收藏店铺优先发货	高	367.6	品阅轩图书专营店	1	0	免邮|券268-5	杨强	20	50	2	机械工业出版社	10				1900.0				19	4	0	0	0	不畅销	0.388
10024700000000	零基础学机器学习 黄佳 机器学习入门书籍	正版书籍质量保证收藏店铺优先发货	中	64.6	品阅轩图书专营店	0	0	券268-5	黄佳	20	50	0	人民邮电出版社	10				1900.0				16	2	0	0	0	不畅销	0.27540000000000003
70239651760	现货包邮 Python金融大数据风控建模实战：基于机器学习 王青天 孔越|8070488	正版书籍：结合机器学习算法，以真实数据为基础进行信用评分卡模型构建，带领读者零门槛学习金融领域风险控制	较高	75.0	互动出版网图书专营店	1	0	免邮|券每满300减30|满赠	王青天 孔越	20	50	2	机械工业出版社	30	华章（HuaZhang）			1900.0				29	2	0	1	0	不畅销	0.8759999999999999
10020500000000	包邮 对抗机器学习 智能科学与技术丛书|8071725	正版书籍:本书由机器学习安全领域的学者撰写，针对存在安全威胁的对抗性环境，讨论如何构建健壮的机器学习系统，全面涵盖所涉及的理论和工具	中	62.4	互动出版网图书专营店	1	1	放心购|免邮|券每满300减30|满赠	美 安东尼 D 约瑟夫（Anthony	20	50	2	机械工业出版社	30	华章（HuaZhang）			1900.0				15	2	0	0	0	不畅销	0.2432
53566827525	包邮 终身机器学习（原书第2版）陈志源 刘兵|8061710	正版书籍：本书适用于对机器学习、数据挖掘、自然语言处理或模式识别感兴趣的学生、研究人员和从业人员	中	49.8	互动出版网图书专营店	1	1	放心购|免邮|券每满300减30|满赠	美陈志源Zhiyuan Chen 刘	20	50	2	机械工业出版社	30	华章（HuaZhang）		2019-07-22	2019.0			195.0	31	2	0	0	0	不畅销	0.9984
37299178972	包邮 机器学习精讲：基础、算法及应用 计算机与互联网 |8053923	正版书籍	中	43.5	互动出版网图书专营店	1	1	放心购|免邮|券每满300减30|满赠	美 杰瑞米 瓦特Jeremy Wat	20	50	2	机械工业出版社	30	华章（HuaZhang）		2018-11-08	2018.0			222.0	15	8	0	0	0	不畅销	0.25279999999999997
15026203216	正版包邮 深度学习 中文版+机器学习 周志华（套装共2册）	正版包邮 深度学习 中文版+机器学习 周志华（套装共2册）	高	183.0	恒久图书专营店	1	0			20	50	0	人民邮电出版社	10				1900.0				19	13	0	0	0	不畅销	0.406
10159011369	正版 极简人工智能 你一定爱读的AI通识理查德AI2.0时代人工智能机器学习书籍	正版 极简人工智能 你一定爱读的AI通识理查德AI2.0时代人工智能机器学习书籍	中	36.5	蓝墨水图书专营店	0	0	券99-2	理查德·温	20	50	3	电子工业出版社	10				1900.0				21	18	0	0	0	不畅销	0.5016
12930852	增强学习与近似动态规划	增强学习与近似动态规划	较高	70.4	科学出版社	0	2	自营|放心购	徐昕	20	20	6	科学出版社	10	科学出版社（SCIENCE PRESS）	平装	2010-05-01	2010.0	胶版纸	中文版	212.0	17	1	0	0	0	不畅销	0.3078
10022900000000	用Python实现深度学习框架 Python深度学习框架入门与实践 神经网络编程 人工智能机器学习	用Python从零开始实现深度学习框架，360智能工程部高级机器学习算法工程师倾力打造，邱锡鹏、袁进辉（@老师木）、赵勇、邓亚峰联合推荐，提供源代码	较高	66.8	人民邮电出版社官方旗舰店	1	1	放心购|免邮	张觉非 陈震	20	50	0	人民邮电出版社	10	人民邮电出版社		2020-10-01	2020.0			271.0	15	1	0	1	0	不畅销	0.24159999999999998
58767587658	移动端机器学习实战 Tensorflow Lite CoreML开发Android与iOS应用程序	移动端机器学习实战 Tensorflow Lite CoreML开发Android与iOS应用程序	中	44.0	人民邮电出版社官方旗舰店	1	0	免邮	卡斯基延·NG	20	50	0	人民邮电出版社	10	人民邮电出版社	平装	2019-10-01	2019.0			206.0	33	2	1	1	1	不畅销	0.5474
40794002099	机器人学习书【套装10册】机器人学导论+机器人建模控制+力学原理+机器人自动化+并联机器人人工智能	移动/并联/发展型/机器人建模与制造书籍机器人学译丛共10册机械工业出版社	高	650.0	沐雨经霜图书专营店	0	1	放心购|满99-10		20	50	2	机械工业出版社	10			2016-09-01	2016.0				17	7	0	0	0	不畅销	0.3186
71254768015	百面机器学习 算法工程师带你去面试 程序员面试宝典 工智能ai机器学习深度学习入门计算机编程图书趣	一线大厂算法工程师合力著作	高	141.0	人民邮电出版社官方旗舰店	1	1	放心购|免邮	诸葛越 葫芦娃 等	20	50	0	人民邮电出版社	10	人民邮电出版社		2018-08-01	2018.0				19	2	0	0	0	不畅销	0.384
130000000000	"京东国际	
My Friend Robot 英文原版儿童启蒙绘本 Barefoot Books 附CD 我的机器人朋友 原版CD 图画故事书"	一群活泼的孩子要加入机器人和机器人成为朋友，笔记中学习更多关于机器人的问题，和简单机器人的计算机编程！	较高	65.1		0	2	自营|放心购	Sunny Scribens	20	10	700	Barefoot	10	其他品牌	平装	2017-09-01	2017.0	胶版纸			26	9	0	0	0	不畅销	0.7263
10020900000000	【新品现货】机器学习测试入门与实践 艾辉 软件测试教程书籍 AI自动化测试 性能测试	业界首部AI测试著作，32位BAT专家联袂推荐。精选15个AI测试要点，涵盖5大技术主题。从零开始快速入门机器学习测试。融360AI测试团队著	较高	88.5	人民邮电出版社官方旗舰店	1	1	放心购|免邮	艾辉	20	50	0	人民邮电出版社	10	人民邮电出版社		2020-10-01	2020.0				23	2	0	1	0	不畅销	0.5568000000000001
55250656101	机器学习与安全	新华文轩正版保障，关注店铺可享粉丝价等专属优惠，团购客户量大从优详询本店客服。进会场领300减201神券	中	49.6	文轩网旗舰店	0	0	满99-5	克拉伦斯·基奥	20	10	700	中国电力出版社	30	文轩		2019-08-01	2019.0				16	3	0	0	0	不畅销	0.2771
13914996121	机器学习实践应用	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	51.1	文轩网旗舰店	0	0	满99-5	李博著	20	50	0	人民邮电出版社	30	文轩		2017-07-01	2017.0				26	23	0	1	0	不畅销	0.7641
47001379578	Python机器学习——数据分析与评分卡建模 微课版	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	36.1	文轩网旗舰店	0	0	满99-5	翟锟	20	40	1	清华大学出版社	30	文轩		2019-05-01	2019.0				27	2	0	0	0	不畅销	0.7616
46361557257	利用机器学习开发算法交易系统	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	34.3	文轩网旗舰店	0	0	满99-5	安明浩	20	50	0	人民邮电出版社	30	文轩		2019-05-01	2019.0				25	6	0	0	0	不畅销	0.6656
55901458727	深入理解AUTOML和AUTODL:构建自动化机器学习与深度学习平台	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	72.8	文轩网旗舰店	0	0	满99-5	王健宗瞿晓阳	20	50	2	机械工业出版社	30	文轩		2019-08-01	2019.0				25	0	0	0	0	不畅销	0.65
10023400000000	人工智能——机器学习与神经网络	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	68.5	文轩网旗舰店	1	0	免邮|满99-5	刘峡壁	20	10	700	国防工业出版社	30	文轩		2020-08-01	2020.0				24	1	0	0	0	不畅销	0.6024999999999999
71341968582	白话机器学习的数学	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	42.4	文轩网旗舰店	0	0	满99-5	立石贤吾	40	50	0	人民邮电出版社	30	文轩		2020-06-01	2020.0				22	5	0	0	0	不畅销	0.5175
33741890549	零基础学R语言数据分析 从机器学习、数据挖掘、文本挖掘到大数据分析	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	45.3	文轩网旗舰店	0	0	满99-5	李仁钟	20	40	1	清华大学出版社	30	文轩		2018-10-01	2018.0				21	3	0	0	0	不畅销	0.4686
15957509971	机器学习在线	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	59.2	文轩网旗舰店	0	0	满99-5	杨旭著	20	50	3	电子工业出版社	30	文轩		2017-08-01	2017.0				20	14	0	0	0	不畅销	0.44939999999999997
31343420641	机器学习vs复杂系统	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	43.4	文轩网旗舰店	0	0	满99-5	许铁编著	20	50	3	电子工业出版社	30	文轩		2018-08-01	2018.0				19	8	0	0	0	不畅销	0.396
46000560483	机器学习 算法视角(原书第2版)	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	73.1	文轩网旗舰店	0	0	满99-5	史蒂芬·马斯兰(StephenMarsl	20	50	2	机械工业出版社	30	文轩		2019-04-01	2019.0				17	4	0	0	0	不畅销	0.3132
70572665100	Python金融大数据风控建模实战 基于机器学习	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	87.6	文轩网旗舰店	0	0	满99-5		20	50	2	机械工业出版社	30	文轩		2020-06-01	2020.0				17	3	0	1	0	不畅销	0.3114
55012092644	跟着迪哥学PYTHON数据分析与机器学习实战	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	62.3	文轩网旗舰店	0	0	满99-5	唐宇迪	20	50	0	人民邮电出版社	30	文轩		2019-09-01	2019.0				16	1	0	1	0	不畅销	0.2737
30904148594	SAP企业机器学习	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	68.1	文轩网旗舰店	0	0	满99-5	邬学宁等著	20	40	1	清华大学出版社	30	文轩		2018-07-01	2018.0				15	8	0	0	0	不畅销	0.25279999999999997
64723682764	PySpark机器学习自然语言处理与推荐系统	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	中	48.4	文轩网旗舰店	0	0	满99-5	普拉莫德·辛格	20	40	1	清华大学出版社	30	文轩		2020-01-01	2020.0				15	3	0	0	1	不畅销	0.2448
72178132564	机器学习中的数学修炼	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	67.6	文轩网旗舰店	0	0	满99-5		20	40	1	清华大学出版社	30	文轩		2020-07-01	2020.0				14	1	0	0	0	不畅销	0.2115
32992062018	机器学习统计学(影印版)	新华书店，正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！	较高	67.5	文轩网旗舰店	0	0	满99-5	普拉塔普·丹格迪(PratapDangeti	20	30	5	东南大学出版社	30	文轩		2018-08-01	2018.0				13	8	0	0	0	不畅销	0.19319999999999998
12981082	机器学习与视觉感知（第2版）	系统地讲解了机器学习的主要内容以及视觉感知的相关知识，在传统理论的基础上加入了前沿的研究成果。	中	41.7	清华大学出版社	0	2	自营|放心购	张宝昌	20	40	1	清华大学出版社	10	清华大学出版社（Tsinghua University Press）	平装	2020-09-01	2020.0	胶版纸	中文	123.0	16	1	0	0	0	不畅销	0.2737
12933274	AI制胜：机器学习极简入门	无需高深的数学基础也能上手每个算法都配有案例	中	41.7	清华大学出版社	0	2	自营|放心购	宋立桓	20	40	1	清华大学出版社	10	清华大学出版社（TSINGHUA UNIVERSITY PRESS）	平装	2020-06-01	2020.0	胶版纸		164.0	23	3	0	0	0	不畅销	0.5592
26800374669	图解机器学习 入门指南 人工智能书籍 新兴算法 人机交互	图解机器学习 入门指南 人工智能书籍 新兴算法 人机交互	中	37.24	华心图书专营店	0	1	放心购|券158-3|满300-30	杉山将	20	50	0	人民邮电出版社	10				1900.0				25	19	0	0	0	不畅销	0.6994
1533159324	图解机器学习 机器学习 数据挖掘 模式识别 计算机程序设计算法基础 程序员数学算法图解入	图解机器学习  机器学习 数据挖掘 模式识别 计算机程序设计算法基础 程序员数学算法图解入	中	34.3	旷氏文豪图书专营店	1	0	免邮|券99-2	杉山将	20	50	0	人民邮电出版社	10		平装	2015-04-01	2015.0				13	6	0	0	0	不畅销	0.19039999999999999
12494989	同济博士论丛：基于机器学习的蛋白质相互作用与功能预测	同济博士论丛：基于机器学习的蛋白质相互作用与功能预测	中	60.1		0	2	自营|放心购	邓磊	20	10	700	同济大学出版社	10	同济大学出版社	精装	2018-05-01	2018.0	胶版纸	中文	163.0	27	3	0	0	0	不畅销	0.7644
12982146	商用机器学习：数据科学实践	书中同时使用Excel工作表和Python代码，方便初学者先从容易的Excel入手，按照自己的节奏，慢慢转向Python	较高	65.2	机械工业出版社	0	2	自营|放心购	约翰·赫尔（John	20	50	2	机械工业出版社	50	机工出版	平装	2020-09-01	2020.0	胶版纸		216.0	17	2	0	1	0	不畅销	0.3096
12078590945	视觉SLAM十四讲 从理论到实践+视觉机器学习20讲 视觉机器学习算法优化方法教程 2	视觉SLAM十四讲 从理论到实践+视觉机器学习20讲 视觉机器学习算法优化方法教程 2	较高	89.0	旷氏文豪图书专营店	0	0	券99-2		20	50	3	电子工业出版社	10				1900.0			1.0	25	25	0	1	0	不畅销	0.7150000000000001
10022200000000	现货包邮机器学习实战:基于Scikit-Learn、Keras和TensorFlow|8075075	实用性强。没有太多复杂的数学公式推导，每章都附有练习题和代码，可以帮助你应用所学的知识	较高	74.5	互动出版网图书专营店	1	1	放心购|免邮|券每满300减30|满赠	法 奥雷利安 杰龙（Aurélien G	20	50	2	机械工业出版社	30	华章（HuaZhang）			1900.0				29	2	0	1	1	不畅销	0.8759999999999999
12601782	实用数据科学和Python机器学习（影印版）	实用数据科学和Python机器学习（影印版）	较高	80.4	南京东南大学出版社	0	2	自营|放心购	Frank	20	30	5	东南大学出版社	10	南京东南大学出版社	平装	2019-05-01	2019.0	胶版纸	英文	403.0	14	4	0	0	0	不畅销	0.216
71306916147	实时语音处理实践指南+Kaldi语音识别实战 陈果果 机器学习深度学习书籍 套装2册	实时语音处理实践指南+Kaldi语音识别实战 陈果果 机器学习深度学习书籍 套装2册	高	138.8	芝麻开门图书专营店	0	1	放心购|门店有售|到店自取|券99-5		20	50	3	电子工业出版社	10				1900.0				18	2	0	1	0	不畅销	0.34580000000000005
70686035232	神经网络与深度学习 入门到精通 人工智能机器学习 （4册套装）出图GNN原理解析	神经网络与深度学习 入门到精通 人工智能机器学习 （4册套装）出图GNN原理解析	高	304.2	芝麻开门图书专营店	0	1	放心购|门店有售|到店自取|券99-5	邱锡鹏	20	50	2	机械工业出版社	10		平装		1900.0	胶版纸	中文		28	3	0	0	0	不畅销	0.8207
13026108	Python机器学习建模与部署 从Keras到Kubernetes	深度学习微服务容器人工智能神经网络编程汇编语言，流行的Keras库和Kubernetes集群，将人工智能融入现代软件开发流程，模型构建和部署双管齐下。	较高	66.2	人民邮电出版社	0	2	自营|放心购	达塔拉·拉奥	20	50	0	人民邮电出版社	50	iTuring	平装	2020-11-01	2020.0	胶版纸	中文	240.0	13	3	0	0	1	不畅销	0.1862
